strategy,year,days,pnl,ret,sharpe,max_dd,worst_day,best_day,avg_abs_pnl,active_frac,fee
final_in_dual_window,ALL,608,102163.0,0.0341,1.246,-0.0102,-15397.3,14028.8,1143.5,0.643,
news_sat_in_dual_window,ALL,608,134090.9,0.0447,1.829,-0.0065,-9675.0,13292.5,954.2,0.424,
dual_final_news,ALL,608,236253.9,0.0788,2.143,-0.0096,-10922.1,14277.9,1712.9,0.643,
macro_derated_gated,ALL,608,221161.5,0.0737,2.017,-0.0104,-16934.8,27070.5,1150.9,0.406,
weather_v3_proxy,ALL,608,137333.2,0.0458,2.256,-0.0073,-6004.2,6861.7,1109.2,0.911,
combo_v3,ALL,608,594748.6,0.1982,3.494,-0.0132,-16831.5,26130.6,3009.9,0.951,
combo_no_weather,ALL,608,457415.4,0.1525,2.901,-0.0101,-16550.8,27559.7,2491.8,0.732,
macro_full_native_3M,ALL,2111,1067470.3,0.3558,1.318,-0.0371,-49393.1,78955.5,2750.1,0.538,
macro_full_derated_3M,ALL,2111,365989.8,0.122,1.318,-0.0128,-16934.8,27070.5,942.9,0.538,
weather_v3_full_proxy,ALL,2111,309896.6,0.1033,1.434,-0.0097,-12716.1,12367.2,912.1,0.662,
final_scheme_official_1M,ALL,3932,646819.7,0.6556,,,,,,,29289.4
