strategy,year,days,pnl,ret,sharpe,max_dd,worst_day,best_day,active_frac
combo_full_v3,ALL,3933,1428930.8,0.4763,1.996,-0.0157,-16831.5,28634.6,0.814
combo_full_no_weather,ALL,3933,1119034.2,0.373,1.727,-0.0133,-16550.8,28634.6,0.749
core_final_or_dual_final,ALL,3933,646583.0,0.2155,1.256,-0.0133,-15397.3,22759.0,0.654
news_sat,ALL,3933,134090.9,0.0447,0.715,-0.0065,-9675.0,13292.5,0.066
dual_or_final,ALL,3933,780673.9,0.2602,1.424,-0.0133,-15366.0,22759.0,0.654
macro_derated_gated,ALL,3933,338360.3,0.1128,1.005,-0.0104,-16934.8,27070.5,0.289
weather_v3_proxy,ALL,3933,309896.6,0.1033,1.049,-0.0097,-12716.1,12367.2,0.355
era_2010_2017_final_only,ALL,1826,230287.0,0.0768,1.177,-0.0133,-12015.0,13315.0,0.651
era_2018_to_dual_pre_news,ALL,1499,603895.2,0.2013,2.008,-0.0157,-13508.9,28634.6,0.957
era_dual_window,ALL,608,594748.6,0.1982,3.492,-0.0132,-16831.5,26130.6,0.951
