strategy,year,days,pnl,ret,sharpe,max_dd,worst_day,best_day,avg_abs_pnl,active_frac,fee
final_scheme_official_1M,2010,124,73555.4,0.0756,2.908,-0.0195,,,,1.0,564.6
final_scheme_official_1M,2011,244,20585.9,0.0205,0.866,-0.0275,,,,0.922,1249.0
final_scheme_official_1M,2012,243,14205.1,0.0141,0.647,-0.0097,,,,0.498,944.2
final_scheme_official_1M,2013,238,55152.3,0.0565,3.027,-0.0062,,,,0.748,1464.1
final_scheme_official_1M,2014,245,27679.0,0.0279,1.472,-0.0089,,,,0.38,1048.4
final_scheme_official_1M,2015,244,41758.8,0.0423,1.555,-0.023,,,,0.594,1468.2
final_scheme_official_1M,2016,244,-17574.3,-0.0178,-0.684,-0.0288,,,,0.643,1610.8
final_scheme_official_1M,2017,244,14900.4,0.0146,0.532,-0.0199,,,,0.602,1431.7
final_scheme_official_1M,2018,243,31129.3,0.0312,1.101,-0.0274,,,,0.798,2041.9
final_scheme_official_1M,2019,244,42120.4,0.0427,1.79,-0.0135,,,,0.594,1517.0
final_scheme_official_1M,2020,242,76343.2,0.0786,2.105,-0.0172,,,,0.537,1521.8
final_scheme_official_1M,2021,243,83243.3,0.0858,1.942,-0.0176,,,,0.638,2274.2
final_scheme_official_1M,2022,242,46699.1,0.0465,0.941,-0.0347,,,,0.645,2403.0
final_scheme_official_1M,2023,241,43034.4,0.0431,1.048,-0.0315,,,,0.83,2901.6
final_scheme_official_1M,2024,241,23692.7,0.0233,0.637,-0.0303,,,,0.635,2653.8
final_scheme_official_1M,2025,243,28857.0,0.0287,0.895,-0.0113,,,,0.679,3195.3
final_scheme_official_1M,2026,167,41437.7,0.042,2.096,-0.0131,,,,0.461,999.8
final_scheme_official_1M,ALL,3932,646819.7,0.6556,,,,,,,29289.4
final_in_dual_window,2024,200,29625.3,0.0099,0.968,-0.0102,-15397.3,14028.8,1366.1,0.725,
final_in_dual_window,2025,243,28649.7,0.0095,0.906,-0.0038,-10557.3,13271.6,1094.6,0.704,
final_in_dual_window,2026,165,43888.0,0.0146,2.279,-0.0044,-5714.0,7711.0,945.5,0.455,
final_in_dual_window,ALL,608,102163.0,0.0341,1.246,-0.0102,-15397.3,14028.8,1143.5,0.643,
news_sat_in_dual_window,2024,200,46575.8,0.0155,2.346,-0.0044,-8600.0,5825.0,793.1,0.4,
news_sat_in_dual_window,2025,243,79289.0,0.0264,1.981,-0.0065,-9675.0,13292.5,1636.9,0.679,
news_sat_in_dual_window,2026,165,8226.1,0.0027,1.294,-0.0009,-2762.5,4162.5,143.9,0.079,
news_sat_in_dual_window,ALL,608,134090.9,0.0447,1.829,-0.0065,-9675.0,13292.5,954.2,0.424,
dual_final_news,2024,200,76201.1,0.0254,2.243,-0.0061,-10747.3,11803.8,1692.7,0.725,
dual_final_news,2025,243,107938.7,0.036,2.06,-0.0096,-10922.1,14277.9,2186.3,0.704,
dual_final_news,2026,165,52114.1,0.0174,2.378,-0.0044,-6035.5,10216.2,1040.0,0.455,
dual_final_news,ALL,608,236253.9,0.0788,2.143,-0.0096,-10922.1,14277.9,1712.9,0.643,
macro_derated_gated,2024,200,75855.4,0.0253,2.128,-0.0104,-12105.2,9063.5,1809.9,0.76,
macro_derated_gated,2025,243,129232.6,0.0431,3.218,-0.0017,-3442.0,27070.5,701.1,0.255,
macro_derated_gated,2026,165,16073.6,0.0054,0.483,-0.0069,-16934.8,16198.7,1014.6,0.2,
macro_derated_gated,ALL,608,221161.5,0.0737,2.017,-0.0104,-16934.8,27070.5,1150.9,0.406,
weather_v3_proxy,2024,200,96543.0,0.0322,3.911,-0.0052,-5785.6,6861.7,1488.5,0.985,
weather_v3_proxy,2025,243,8960.4,0.003,0.419,-0.0073,-6004.2,6272.0,898.4,0.86,
