year,strategy,sharpe,ret,pnl,max_dd,worst_day
2024,final_in_dual_window,0.968,0.0099,29625.3,-0.0102,-15397.3
2025,final_in_dual_window,0.906,0.0095,28649.7,-0.0038,-10557.3
2026,final_in_dual_window,2.279,0.0146,43888.0,-0.0044,-5714.0
2024,dual_final_news,2.243,0.0254,76201.1,-0.0061,-10747.3
2025,dual_final_news,2.06,0.036,107938.7,-0.0096,-10922.1
2026,dual_final_news,2.378,0.0174,52114.1,-0.0044,-6035.5
2024,macro_derated_gated,2.128,0.0253,75855.4,-0.0104,-12105.2
2025,macro_derated_gated,3.218,0.0431,129232.6,-0.0017,-3442.0
2026,macro_derated_gated,0.483,0.0054,16073.6,-0.0069,-16934.8
2024,weather_v3_proxy,3.911,0.0322,96543.0,-0.0052,-5785.6
2025,weather_v3_proxy,0.419,0.003,8960.4,-0.0073,-6004.2
2026,weather_v3_proxy,2.385,0.0106,31829.8,-0.004,-3331.3
2024,combo_v3,4.464,0.0829,248599.5,-0.0074,-12060.2
2025,combo_v3,3.318,0.082,246131.7,-0.0132,-14549.2
2026,combo_v3,2.548,0.0333,100017.4,-0.0075,-16831.5
